labels,text,text_hi,text_de
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Dakag बिंदु तक जाओ, पागल. केवल Bag Non महान विश्व cag में उपलब्ध है... वहाँ एक अधिक wack मिला...","Gehen Sie bis jurong Punkt, verrückt.. Verfügbar nur in buggis n great world la e buffet... Cine there got amore wat..."
ham,Ok lar... Joking wif u oni...,ओके लामर.... if if uue पर.,Ok Lar... joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Fktatatat 21 मई को प्राप्त करने के लिए मुफ्त प्रविष्टि में. पाठ FAO को 87121 में प्रविष्टि प्राप्त करने के लिए(stibook दर) TTVERVE है 0. 08375750818 के मूल्य लागू करता है,"Freier Eintritt in 2 a wkly comp zum Gewinn FA Cup Final tkts 21. Mai 2005. Text FA bis 87121, um Eingangsfrage zu erhalten(std txt rate)T&C's gelten 08452810075over18's"
ham,U dun say so early hor... U c already then say...,Uden इतना जल्दी कहते हैं... तो पहले से ही यूसी कहते हैं...,U dun sagen so früh... U c schon dann sagen...
ham,"Nah I don't think he goes to usf, he lives around here though","नहीं, मुझे नहीं लगता कि वह हमारे लिए चला जाता है, वह यहाँ के आसपास रहता है हालांकि","Nein, ich glaube nicht, dass er zu unsf geht, er lebt hier in der Nähe."
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","LMag अरे वहाँ प्रिय यह 3 सप्ताह है और कोई शब्द वापस किया गया है! मैं तुम्हें इसके लिए अभी भी कुछ मज़ा चाहते हैं? TbseX chigs, cug1 करने के लिए।","FreeMsg Hey da Liebling es war 3 Wochen jetzt und kein Wort zurück! Ich möchte etwas Spaß Sie für es noch? Tb ok! XxX std chgs zu senden, £1,50 zu rcv"
ham,Even my brother is not like to speak with me. They treat me like aids patent.,मेरा भाई भी मेरे साथ बातें करना नहीं चाहता; वे मेरे साथ सहायक की नाई बर्ताव करते हैं।,Selbst mein Bruder ist nicht gern mit mir sprechen. Sie behandeln mich wie Hilfsmittel Patent.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,जैसा कि प्रति आपकी निवेदन 'Malagagagagaghtagaghuga' (ओएगंखनन्ख) सेट कर दिया गया है सभी प्रतिनिधियों के लिए आपके कॉलर्स के लिए. *9 अपने दोस्तों को फ़ोन करने की प्रतिलिपि बनाने के लिए क्लिक करें,"Gemäß Ihrer Anfrage 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)"" wurde als Anrufer für alle Anrufer eingestellt. Drücken Sie *9, um Ihre Freunde zu kopieren Callertune"
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINER! एक मूल्यवान नेटवर्क ग्राहक के रूप में आप ९०० पाउंड इनाम प्राप्त करने के लिए चुना गया है! करने के लिए दावा करने के लिए 090617011. mult कोड के-341. वैध 12 घंटे केवल 12 घंटे.,"WINNER!! Als geschätzter Netzwerkkunde wurden Sie ausgewählt, um eine Preisbelohnung von £900 zu erhalten! Rufen Sie 09061701461 an. Anspruchscode KL341. Nur gültig 12 Stunden."
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,क्या आपके 11 महीने या उससे अधिक थे? अमरीकी आर का शीर्षक है मुक्त के लिए कैमरा के साथ नवीनतम रंग मोबाइल को अद्यतन करने के लिए!,"Hatte Ihr Handy 11 Monate oder länger? U R berechtigt, die neuesten Farbmobile mit Kamera kostenlos zu aktualisieren! Rufen Sie The Mobile Update Co GRATIS auf 08002986030"
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",मैं जल्द ही घर जा रहा हूँ और मैं इस सामान के बारे में अब आज रात बात नहीं करना चाहता हूँ? मैं आज काफी रोया है.,"Ich bin bald zu Hause und will heute Abend nicht mehr darüber reden, K? Ich habe heute genug geweint."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIXX की संभावना है कि SSH! 100 से 20,000 किलो CH11> और 875 में भेजें. लागत 150/75, 6 दिन, 16+TC जवाब लागू करता है HL 4 जानकारी पर.","SIX Chancen zu gewinnen CASH! Von 100 bis 20.000 Pfund txt> CSH11 und senden an 87575. Kosten 150p / Tag, 6 Tage, 16 + TsandCs gelten Antworten HL 4 info"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","TVERGENT! आप एक 1 सप्ताह की सदस्यता जीत लिया है हमारे पाउंड Bapapagagaagaagagh! : ""नहीं: 81010 टी www.net LC.net LELLOLOLOLOLOLOBOBOOOOOOOLOLOLOLOLOLOLOLOOOOOOLOLORARARARARARORIORIORARARARORIORIORIOIOILOILO",URGENT! Sie haben eine 1 Woche kostenlose Mitgliedschaft in unserem $100.000 Prize Jackpot gewonnen! Txt das Wort: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,मैं आप इस सांस के लिए धन्यवाद के लिए सही शब्दों के लिए खोज किया गया है. मैं वादा करता हूँ कि आपकी मदद ले और मेरे वादे को पूरा करेगा. आप सब समय पर अद्भुत और आशीष रहे हैं.,"Ich habe nach den richtigen Worten gesucht, um Ihnen für diese Verschnaufpause zu danken. Ich verspreche Ihnen, dass ich Ihre Hilfe nicht für selbstverständlich nehmen und mein Versprechen erfüllen werde."
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,मेरे पास भविष्य के लिए एक तारीख है!,Ich habe ein Date am Sonntag mit Will!!
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","256XMIGCALLLL: आपका क्रेडिट उपयोग करने के लिए, अगले 74 संदेश में WAP लिंक क्लिक करें या यहाँ क्लिक करें : http://wawpic.com?","XXXMobileMovieClub: Um Ihr Guthaben zu nutzen, klicken Sie auf den WAP-Link in der nächsten txt-Nachricht oder klicken Sie hier>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJGCBL"
ham,Oh k...i'm watching here:),ओह के- se यहाँ देख रहा है: (i),Oh k...ich schaue hier:)
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ई. यू. यू. यू.,"Eh u erinnern, wie 2 seinen Namen buchstabieren... Ja, ich habe. Er v freche machen, bis ich v nass."
ham,Fine if thats the way u feel. Thats the way its gota b,ठीक है कि uu के रास्ते से लग रहा है. कि अपने मिल का रास्ता है.,"Gut, wenn das die Art und Weise u fühlen. Das ist die Art und Weise seine gota b"
